relative_time,S1_HR,S2_HR,S3_HR,S4_HR,S5_HR,S6_HR,S7_HR,S8_HR,S9_HR,S10_HR
0.0,116.0,116.0,111.0,106.0,118.0,123.0,125.0,95.0,91.0,118.0
1.0,82.5,82.5,81.5,97.5,84.5,116.0,88.5,89.0,70.5,109.0
2.0,96.33,94.67,94.0,100.0,97.67,98.67,102.0,97.67,82.33,90.0
3.0,86.25,91.5,88.75,94.75,85.25,95.25,88.5,116.75,76.25,99.0
4.0,98.6,88.2,98.4,100.4,97.8,90.2,101.8,106.2,86.4,90.0
5.0,107.5,84.83,95.83,96.33,94.83,93.33,105.33,109.5,92.67,83.5
6.0,113.71,84.43,103.0,101.14,104.14,95.14,117.14,112.43,96.86,82.0
7.0,107.38,84.0,108.38,102.62,103.38,96.38,111.88,115.62,100.0,80.62
8.0,111.56,83.33,112.56,100.78,103.56,97.33,116.67,118.11,102.22,79.67
9.0,106.4,82.8,116.5,104.2,100.7,97.0,116.7,120.2,104.0,78.8
10.0,109.36,82.36,119.55,101.36,105.73,96.73,116.36,121.82,102.82,78.09
11.0,110.75,82.0,122.0,104.58,103.33,96.42,115.5,123.17,102.67,77.58
12.0,111.92,81.69,124.0,102.0,107.54,96.23,114.92,124.15,102.31,77.15
13.0,112.14,81.43,126.5,104.93,105.5,96.07,114.14,124.93,101.93,76.79
14.0,110.8,81.2,128.53,109.2,108.93,95.87,113.07,125.27,101.53,76.47
15.0,109.56,80.94,130.38,112.94,107.38,95.81,112.12,125.62,101.31,76.19
16.0,108.53,80.76,131.88,116.18,110.18,96.12,111.41,125.94,101.12,76.12
17.0,107.61,80.56,132.83,119.0,108.94,96.28,110.78,126.22,100.94,76.06
18.0,110.21,80.32,133.42,121.47,111.32,96.42,110.21,126.37,100.74,76.05
19.0,112.5,80.05,133.75,118.9,110.25,96.45,109.7,126.35,100.55,76.05
20.0,114.52,79.86,133.86,116.14,109.29,96.52,109.29,126.33,100.29,76.05
21.0,116.36,79.64,134.0,113.5,111.36,96.36,108.73,125.86,100.23,76.05
22.0,118.0,79.43,134.13,111.17,110.43,96.09,108.3,125.48,100.09,76.04
23.0,119.5,79.25,134.25,109.08,111.79,95.83,108.21,125.0,100.0,76.17
24.0,120.84,79.08,134.12,107.2,113.04,95.56,108.08,124.36,99.88,76.28
25.0,122.08,78.88,133.96,105.69,114.46,95.35,107.96,122.88,99.88,76.42
26.0,123.22,78.63,133.81,104.3,116.11,95.19,107.81,120.63,99.78,76.52
27.0,124.25,79.25,133.68,103.0,115.79,95.0,107.71,118.57,99.75,76.64
28.0,125.14,79.69,133.48,101.76,115.55,94.86,107.62,116.66,100.07,76.86
29.0,125.2,80.07,133.3,100.6,115.33,94.8,107.53,115.77,100.33,77.03
30.0,125.26,80.42,133.19,99.81,115.23,94.81,107.45,115.0,100.52,77.13
31.0,126.12,80.78,132.78,99.06,115.78,94.75,107.38,114.22,100.69,77.16
32.0,126.94,81.09,132.42,98.33,115.61,94.7,107.3,113.18,100.91,77.24
33.0,127.74,81.35,132.09,97.68,115.53,94.65,107.24,112.09,101.0,77.35
34.0,128.46,81.6,131.74,97.06,115.23,94.63,107.14,110.83,101.17,77.43
35.0,129.11,81.83,131.42,96.5,115.0,94.61,107.08,110.06,101.28,77.64
