S1_time,S1_IBI,S2_time,S2_IBI,S3_time,S3_IBI,S4_time,S4_IBI,S5_time,S5_IBI,S6_time,S6_IBI,S7_time,S7_IBI,S8_time,S8_IBI,S9_time,S9_IBI,S10_time,S10_IBI
11.953672,0.359391,103.629744,0.453146,163.398104,0.421894,25.501168,0.500023,61.252804,0.468771,12.531824,0.421894,24.782384,0.343766,17.657058,0.593777,207.32199,0.359391,127.005814,0.359391
283.669235,0.625029,104.051638,0.421894,163.913753,0.515649,34.345322,0.390643,61.799704,0.5469,18.828987,0.406269,25.173027,0.390643,18.328964,0.671906,226.32286,0.32814,376.439106,0.468771
301.623182,0.859414,104.520409,0.468771,172.148505,0.406269,37.845483,0.375017,68.190621,0.531274,19.282133,0.453146,25.548044,0.375017,18.797735,0.468771,226.697877,0.375017,400.315199,0.453146
302.24821,0.625029,105.020432,0.500023,172.507896,0.359391,38.32988,0.484397,70.01883,0.421894,19.782156,0.500023,25.907436,0.359391,19.266507,0.468771,227.151023,0.453146,400.846473,0.531274
328.327529,0.703157,121.552439,0.468771,172.820411,0.312514,38.689271,0.359391,70.378222,0.359391,20.282178,0.500023,91.191674,0.312514,25.532419,0.406269,227.588543,0.43752,401.299619,0.453146
442.832771,0.343766,207.97827,0.312514,173.226679,0.406269,124.646331,0.359391,70.706362,0.32814,64.284193,0.359391,124.740085,0.484397,26.00119,0.468771,1295.090532,0.500023,437.176261,0.484397
444.895365,0.453146,208.368913,0.390643,195.665206,0.359391,135.412449,0.390643,123.990051,0.312514,64.690461,0.406269,459.302274,0.500023,132.552943,0.32814,1614.511404,0.375017,437.660659,0.484397
450.098728,0.421894,208.775182,0.406269,195.977721,0.312514,135.77184,0.359391,162.007416,0.484397,65.065478,0.375017,463.599346,0.562526,184.461569,0.453146,1614.933298,0.421894,442.535882,0.531274
450.614377,0.515649,209.212702,0.43752,245.464361,0.359391,136.256237,0.484397,162.382433,0.375017,65.456121,0.390643,464.224375,0.625029,1297.465641,0.406269,1728.751008,0.578151,442.989028,0.453146
477.599987,0.453146,209.540842,0.32814,261.840111,0.32814,159.647933,0.32814,1097.628368,0.65628,65.878016,0.421894,464.755649,0.531274,1660.685392,0.421894,1729.282282,0.531274,443.520302,0.531274
478.021881,0.421894,209.900233,0.359391,262.262005,0.421894,160.007324,0.359391,1098.09714,0.468771,74.737796,0.343766,465.240046,0.484397,2605.134873,0.531274,1729.891685,0.609403,452.676971,0.43752
499.241603,0.43752,210.212747,0.312514,262.590145,0.32814,170.617185,0.468771,1127.81725,0.5469,127.396456,0.375017,465.786946,0.5469,2605.822404,0.687531,1730.485462,0.593777,453.208245,0.531274
505.08562,0.484397,210.525262,0.312514,264.402728,0.375017,178.789434,0.359391,1371.328397,0.500023,147.663009,0.359391,466.333846,0.5469,2606.525562,0.703157,1731.094865,0.609403,453.73952,0.531274
505.554392,0.468771,212.13471,0.32814,264.746494,0.343766,179.148826,0.359391,1371.859671,0.531274,166.820136,0.359391,466.896372,0.562526,2607.244344,0.718783,1731.704268,0.609403,454.223917,0.484397
506.085666,0.531274,212.494102,0.359391,265.105885,0.359391,179.476966,0.32814,1372.390945,0.531274,415.222131,0.5469,467.5214,0.625029,2607.884999,0.640654,1732.313671,0.609403,454.708314,0.484397
506.554437,0.468771,253.574107,0.500023,267.621625,0.312514,362.547846,0.468771,1372.937845,0.5469,415.706529,0.484397,498.366562,0.531274,2608.478776,0.593777,1732.954325,0.640654,455.192711,0.484397
507.007583,0.453146,446.254802,0.531274,289.997649,0.562526,363.047868,0.500023,1373.515997,0.578151,416.222177,0.515649,500.92918,0.515649,2609.088179,0.609403,1733.579354,0.625029,455.645857,0.453146
568.604153,0.500023,1491.896415,0.500023,291.810232,0.312514,363.563517,0.515649,1374.078523,0.562526,416.737826,0.515649,501.335448,0.406269,2609.760085,0.671906,2248.74356,0.593777,456.208383,0.562526
569.057298,0.453146,1492.412064,0.515649,292.153998,0.343766,364.001037,0.43752,1374.625423,0.5469,536.712068,0.500023,557.884912,0.421894,2610.43199,0.671906,2290.057951,0.468771,456.708405,0.500023
569.557321,0.500023,1504.631373,0.359391,292.544641,0.390643,416.7222,0.5469,1375.141071,0.515649,537.196465,0.484397,617.121998,0.609403,2611.119522,0.687531,2372.030454,0.750034,457.177177,0.468771
570.026093,0.468771,1538.726684,0.468771,2153.801714,0.390643,417.144095,0.421894,1375.672346,0.531274,537.696488,0.500023,620.575281,0.468771,2611.682048,0.562526,2386.343609,0.531274,457.645948,0.468771
570.557367,0.531274,1718.875555,0.734409,2313.105881,0.625029,417.722246,0.578151,1376.187994,0.515649,543.071734,0.484397,621.012801,0.43752,2612.275825,0.593777,2386.999889,0.65628,458.145971,0.500023
576.026367,0.453146,1719.391204,0.515649,3323.042736,0.578151,418.14414,0.421894,1376.734894,0.5469,543.540505,0.468771,621.434696,0.421894,2612.869602,0.593777,2392.750152,0.609403,458.614743,0.468771
