relative_time,S1_EDA,S2_EDA,S3_EDA,S4_EDA,S5_EDA,S6_EDA,S7_EDA,S8_EDA,S9_EDA,S10_EDA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.002563,0.003844,0.001282,0.002563,0.002562,0.001281,0.002562,0.003845,0.001281,0.001281
0.5,0.019221,0.016658,0.01666,0.016656,0.021779,0.017935,0.017935,0.01666,0.014096,0.01922
0.75,0.021784,0.01794,0.017942,0.016656,0.021779,0.019217,0.019217,0.017942,0.015377,0.01922
1.0,0.023065,0.01794,0.01666,0.017938,0.019217,0.017935,0.020498,0.015379,0.016658,0.017939
1.25,0.024347,0.01794,0.017942,0.016656,0.020498,0.017935,0.017935,0.015379,0.016658,0.017939
1.5,0.023065,0.020503,0.017942,0.019219,0.017935,0.020498,0.019217,0.017942,0.01794,0.017939
1.75,0.021784,0.01794,0.017942,0.017938,0.017935,0.019217,0.019217,0.017942,0.016658,0.01922
2.0,0.023065,0.019221,0.01666,0.015375,0.015373,0.017935,0.017935,0.01666,0.016658,0.01922
2.25,0.021784,0.019221,0.017942,0.015375,0.012811,0.017935,0.016654,0.01666,0.016658,0.01922
2.5,0.024347,0.01794,0.01666,0.015375,0.014092,0.016654,0.016654,0.015379,0.016658,0.017939
2.75,0.024347,0.019221,0.01666,0.012813,0.010249,0.015373,0.014092,0.015379,0.01794,0.017939
3.0,0.023065,0.016658,0.015379,0.014094,0.010249,0.012811,0.014092,0.01666,0.01794,0.01922
3.25,0.021784,0.019221,0.014097,0.011531,0.007687,0.01153,0.015373,0.01666,0.016658,0.01922
3.5,0.023065,0.019221,0.015379,0.011531,0.007687,0.01153,0.01153,0.01666,0.01794,0.020501
3.75,0.021784,0.01794,0.015379,0.01025,0.006406,0.01153,0.012811,0.015379,0.01794,0.017939
4.0,0.023065,0.01794,0.014097,0.008969,0.003843,0.010249,0.01153,0.014097,0.016658,0.017939
4.25,0.024347,0.019221,0.015379,0.008969,0.003843,0.010249,0.008968,0.014097,0.016658,0.01922
4.5,0.023065,0.019221,0.014097,0.007688,0.001281,0.010249,0.008968,0.014097,0.01794,0.01922
