relative_time,S1_HR,S2_HR,S3_HR,S4_HR,S5_HR,S6_HR,S7_HR,S8_HR,S9_HR,S10_HR
0.0,84.0,85.0,110.0,104.0,50.0,110.0,92.0,51.0,92.0,49.0
1.0,85.0,83.5,83.5,82.5,53.5,85.0,76.0,56.0,75.5,53.0
2.0,86.0,85.33,92.67,75.0,61.0,93.33,82.67,58.67,82.33,56.67
3.0,86.75,87.0,84.0,75.25,91.25,85.0,78.5,60.0,80.75,57.75
4.0,87.4,80.0,92.8,71.2,89.6,92.6,85.0,69.8,74.4,58.8
5.0,91.0,83.67,107.67,88.33,105.0,104.83,79.5,76.33,82.0,58.17
6.0,93.29,86.71,118.57,100.43,116.14,113.57,84.43,80.86,86.86,65.57
7.0,96.12,88.88,127.0,108.75,124.62,120.75,88.62,84.12,90.75,72.0
8.0,98.11,90.67,133.56,115.56,131.22,126.0,91.89,86.78,93.33,77.33
9.0,100.0,92.3,138.5,121.0,136.6,130.3,94.6,89.0,95.2,81.6
10.0,101.09,93.73,142.55,125.55,140.91,133.64,96.82,90.73,98.09,85.0
11.0,102.25,95.17,145.92,129.5,145.75,136.33,98.25,92.0,100.33,87.83
12.0,102.92,96.46,148.15,132.54,149.77,138.54,99.54,93.0,102.46,90.0
13.0,103.64,97.5,150.0,135.0,153.29,140.43,100.71,93.57,104.14,92.0
14.0,104.27,98.47,151.67,137.13,156.47,141.93,101.73,94.33,105.67,93.2
15.0,104.12,99.38,153.25,139.0,159.31,143.19,102.62,95.12,107.12,94.38
16.0,104.0,100.0,154.65,140.53,162.24,144.41,103.47,95.82,108.41,95.0
17.0,103.67,100.56,156.06,141.89,164.83,145.5,104.22,96.33,109.56,95.56
18.0,103.32,100.89,157.26,143.11,167.21,146.26,104.58,96.16,110.79,96.05
19.0,103.0,101.1,158.35,144.3,169.0,146.95,105.35,96.0,112.3,96.5
20.0,102.33,101.29,159.33,145.29,170.38,147.52,106.05,95.71,113.67,97.0
21.0,102.91,101.36,160.27,146.18,171.68,148.09,106.68,95.59,114.86,97.45
22.0,103.17,101.65,160.61,147.0,172.87,148.7,107.26,95.48,115.87,97.83
23.0,103.46,101.88,160.83,147.71,173.92,149.21,107.79,95.42,116.75,98.21
24.0,103.76,102.08,161.04,148.32,174.88,149.72,108.28,95.32,118.12,98.56
25.0,104.0,102.35,161.27,148.85,175.81,150.5,108.62,95.27,119.35,98.85
26.0,104.19,102.56,161.48,149.3,176.59,151.26,108.81,95.19,120.48,98.96
27.0,104.39,102.75,161.64,149.68,177.32,152.39,109.04,95.18,121.54,99.14
28.0,104.38,102.9,161.76,150.1,178.03,153.55,109.28,95.17,122.52,99.31
29.0,104.43,102.97,161.9,150.53,178.7,154.63,109.43,95.17,123.47,99.5
30.0,104.45,103.1,162.0,151.0,179.32,155.65,109.55,95.06,124.35,99.74
