relative_time,S1_TEMP,S2_TEMP,S3_TEMP,S4_TEMP,S5_TEMP,S6_TEMP,S7_TEMP,S8_TEMP,S9_TEMP,S10_TEMP
0.0,21.79,22.03,22.15,21.29,22.17,22.21,22.35,22.05,21.99,22.07
0.25,21.79,22.03,22.15,21.29,22.17,22.21,22.35,22.05,21.99,22.07
0.5,21.79,22.03,22.15,21.29,22.17,22.21,22.35,22.05,21.99,22.07
0.75,21.79,22.03,22.15,21.29,22.17,22.21,22.35,22.05,21.99,22.07
1.0,21.79,22.03,22.15,21.29,22.17,22.21,22.35,22.05,21.99,22.07
1.25,21.79,22.03,22.15,21.29,22.17,22.21,22.35,22.05,21.99,22.07
1.5,21.79,22.03,22.15,21.29,22.17,22.21,22.35,22.05,21.99,22.07
1.75,21.79,22.03,22.15,21.29,22.17,22.21,22.35,22.05,21.99,22.07
2.0,21.77,22.03,22.15,21.41,22.13,22.25,22.33,22.05,21.97,21.87
2.25,21.77,22.03,22.15,21.41,22.13,22.25,22.33,22.05,21.97,21.87
2.5,21.77,22.03,22.15,21.41,22.13,22.25,22.33,22.05,21.97,21.87
2.75,21.77,22.03,22.15,21.41,22.13,22.25,22.33,22.05,21.97,21.87
3.0,21.77,22.05,22.17,21.33,22.15,22.21,22.31,22.07,21.99,21.85
3.25,21.77,22.05,22.17,21.33,22.15,22.21,22.31,22.07,21.99,21.85
3.5,21.77,22.05,22.17,21.33,22.15,22.21,22.31,22.07,21.99,21.85
3.75,21.77,22.05,22.17,21.33,22.15,22.21,22.31,22.07,21.99,21.85
4.0,21.79,22.09,22.33,21.23,22.15,22.19,22.25,22.09,21.97,21.83
4.25,21.79,22.09,22.33,21.23,22.15,22.19,22.25,22.09,21.97,21.83
4.5,21.79,22.09,22.33,21.23,22.15,22.19,22.25,22.09,21.97,21.83
4.75,21.79,22.09,22.33,21.23,22.15,22.19,22.25,22.09,21.97,21.83
5.0,21.91,22.03,22.31,21.25,22.17,21.99,22.33,22.05,21.95,21.83
5.25,21.91,22.03,22.31,21.25,22.17,21.99,22.33,22.05,21.95,21.83
5.5,21.91,22.03,22.31,21.25,22.17,21.99,22.33,22.05,21.95,21.83
5.75,21.91,22.03,22.31,21.25,22.17,21.99,22.33,22.05,21.95,21.83
6.0,22.07,21.97,22.29,21.25,22.15,21.99,22.37,22.01,21.95,21.81
6.25,22.07,21.97,22.29,21.25,22.15,21.99,22.37,22.01,21.95,21.81
6.5,22.07,21.97,22.29,21.25,22.15,21.99,22.37,22.01,21.95,21.81
6.75,22.07,21.97,22.29,21.25,22.15,21.99,22.37,22.01,21.95,21.81
7.0,22.11,21.99,22.29,21.23,22.15,22.01,22.31,22.03,21.93,21.81
7.25,22.11,21.99,22.29,21.23,22.15,22.01,22.31,22.03,21.93,21.81
7.5,22.11,21.99,22.29,21.23,22.15,22.01,22.31,22.03,21.93,21.81
7.75,22.11,21.99,22.29,21.23,22.15,22.01,22.31,22.03,21.93,21.81
8.0,22.19,21.99,22.27,21.23,22.17,22.01,22.35,22.09,21.95,21.81
8.25,22.19,21.99,22.27,21.23,22.17,22.01,22.35,22.09,21.95,21.81
8.5,22.19,21.99,22.27,21.23,22.17,22.01,22.35,22.09,21.95,21.81
8.75,22.19,21.99,22.27,21.23,22.17,22.01,22.35,22.09,21.95,21.81
9.0,22.17,22.03,22.27,21.23,22.15,22.01,22.21,22.07,22.01,21.81
9.25,22.17,22.03,22.27,21.23,22.15,22.01,22.21,22.07,22.01,21.81
9.5,22.17,22.03,22.27,21.23,22.15,22.01,22.21,22.07,22.01,21.81
9.75,22.17,22.03,22.27,21.23,22.15,22.01,22.21,22.07,22.01,21.81
10.0,22.21,22.27,22.27,21.23,22.13,22.11,22.33,22.07,22.03,21.79
10.25,22.21,22.27,22.27,21.23,22.13,22.11,22.33,22.07,22.03,21.79
10.5,22.21,22.27,22.27,21.23,22.13,22.11,22.33,22.07,22.03,21.79
10.75,22.21,22.27,22.27,21.23,22.13,22.11,22.33,22.07,22.03,21.79
11.0,22.19,22.17,22.27,21.23,22.13,22.21,22.25,22.09,22.03,21.79
11.25,22.19,22.17,22.27,21.23,22.13,22.21,22.25,22.09,22.03,21.79
11.5,22.19,22.17,22.27,21.23,22.13,22.21,22.25,22.09,22.03,21.79
11.75,22.19,22.17,22.27,21.23,22.13,22.21,22.25,22.09,22.03,21.79
12.0,22.13,22.15,22.29,21.23,22.13,22.25,22.25,22.09,21.99,21.81
12.25,22.13,22.15,22.29,21.23,22.13,22.25,22.25,22.09,21.99,21.81
12.5,22.13,22.15,22.29,21.23,22.13,22.25,22.25,22.09,21.99,21.81
12.75,22.13,22.15,22.29,21.23,22.13,22.25,22.25,22.09,21.99,21.81
13.0,22.15,22.17,22.27,21.27,22.13,22.23,22.25,22.17,21.97,21.79
13.25,22.15,22.17,22.27,21.27,22.13,22.23,22.25,22.17,21.97,21.79
13.5,22.15,22.17,22.27,21.27,22.13,22.23,22.25,22.17,21.97,21.79
13.75,22.15,22.17,22.27,21.27,22.13,22.23,22.25,22.17,21.97,21.79
14.0,22.13,22.17,22.25,21.27,22.13,22.23,22.19,22.05,21.99,21.81
14.25,22.13,22.17,22.25,21.27,22.13,22.23,22.19,22.05,21.99,21.81
14.5,22.13,22.17,22.25,21.27,22.13,22.23,22.19,22.05,21.99,21.81
14.75,22.13,22.17,22.25,21.27,22.13,22.23,22.19,22.05,21.99,21.81
15.0,22.17,22.15,22.15,21.29,22.17,22.25,22.35,22.15,21.97,21.79
15.25,22.17,22.15,22.15,21.29,22.17,22.25,22.35,22.15,21.97,21.79
15.5,22.17,22.15,22.15,21.29,22.17,22.25,22.35,22.15,21.97,21.79
15.75,22.17,22.15,22.15,21.29,22.17,22.25,22.35,22.15,21.97,21.79
16.0,22.07,22.03,22.21,21.29,22.21,22.25,22.27,22.15,21.99,21.81
16.25,22.07,22.03,22.21,21.29,22.21,22.25,22.27,22.15,21.99,21.81
16.5,22.07,22.03,22.21,21.29,22.21,22.25,22.27,22.15,21.99,21.81
16.75,22.07,22.03,22.21,21.29,22.21,22.25,22.27,22.15,21.99,21.81
17.0,21.59,22.05,22.25,21.29,22.21,22.17,22.21,22.15,22.01,21.79
17.25,21.59,22.05,22.25,21.29,22.21,22.17,22.21,22.15,22.01,21.79
17.5,21.59,22.05,22.25,21.29,22.21,22.17,22.21,22.15,22.01,21.79
17.75,21.59,22.05,22.25,21.29,22.21,22.17,22.21,22.15,22.01,21.79
18.0,21.75,22.01,22.13,21.29,22.23,22.29,22.27,22.15,21.97,21.79
18.25,21.75,22.01,22.13,21.29,22.23,22.29,22.27,22.15,21.97,21.79
18.5,21.75,22.01,22.13,21.29,22.23,22.29,22.27,22.15,21.97,21.79
18.75,21.75,22.01,22.13,21.29,22.23,22.29,22.27,22.15,21.97,21.79
19.0,21.41,22.05,22.15,21.29,22.23,22.37,22.25,22.15,21.93,21.79
19.25,21.41,22.05,22.15,21.29,22.23,22.37,22.25,22.15,21.93,21.79
19.5,21.41,22.05,22.15,21.29,22.23,22.37,22.25,22.15,21.93,21.79
19.75,21.41,22.05,22.15,21.29,22.23,22.37,22.25,22.15,21.93,21.79
20.0,22.15,22.01,21.97,21.31,22.23,22.39,22.23,22.15,21.95,21.79
20.25,22.15,22.01,21.97,21.31,22.23,22.39,22.23,22.15,21.95,21.79
20.5,22.15,22.01,21.97,21.31,22.23,22.39,22.23,22.15,21.95,21.79
20.75,22.15,22.01,21.97,21.31,22.23,22.39,22.23,22.15,21.95,21.79
21.0,22.29,21.99,22.25,21.27,22.17,22.39,22.11,22.17,21.97,21.79
21.25,22.29,21.99,22.25,21.27,22.17,22.39,22.11,22.17,21.97,21.79
21.5,22.29,21.99,22.25,21.27,22.17,22.39,22.11,22.17,21.97,21.79
21.75,22.29,21.99,22.25,21.27,22.17,22.39,22.11,22.17,21.97,21.79
22.0,22.23,22.07,22.11,21.29,22.21,22.39,22.15,22.17,21.99,21.79
