relative_time,S1_HR,S2_HR,S3_HR,S4_HR,S5_HR,S6_HR,S7_HR,S8_HR,S9_HR,S10_HR
0.0,116.0,116.0,111.0,106.0,118.0,123.0,125.0,95.0,91.0,118.0
1.0,131.12,80.18,121.85,88.37,107.33,95.85,102.5,95.12,101.47,77.0
2.0,130.17,75.73,113.32,78.47,90.75,82.45,110.77,115.53,94.05,96.18
3.0,127.42,117.22,124.07,97.48,72.8,101.7,137.77,119.47,84.62,111.0
4.0,89.47,72.55,96.93,69.3,65.52,129.53,81.45,67.53,82.62,82.1
5.0,79.38,91.42,136.52,76.02,92.53,149.37,95.92,87.72,78.58,78.18
6.0,122.48,90.47,123.4,106.95,129.33,118.45,121.45,116.53,99.42,79.58
7.0,119.25,114.12,127.38,96.6,129.5,124.85,118.23,118.8,93.43,124.4
8.0,89.55,80.57,131.18,103.87,131.12,131.15,91.42,131.0,85.45,107.18
9.0,97.75,86.8,119.75,96.65,114.62,138.0,106.32,138.42,73.42,125.13
10.0,130.18,129.52,92.7,78.42,91.73,136.28,89.28,137.65,80.07,81.7
11.0,116.97,106.62,125.88,115.23,80.4,104.4,98.2,116.5,105.38,99.95
12.0,112.13,129.58,141.1,103.62,92.22,111.58,125.27,126.27,97.9,131.07
13.0,112.63,133.32,91.45,129.45,99.03,137.22,105.13,98.57,118.1,138.6
14.0,123.45,135.17,75.83,110.87,99.47,133.63,105.05,97.73,107.08,118.07
15.0,117.05,127.58,90.77,96.25,100.53,131.98,107.43,92.9,125.93,114.73
16.0,119.98,100.43,77.42,110.13,107.28,105.9,132.15,129.37,112.7,113.52
17.0,112.48,120.53,79.28,130.78,104.7,127.2,127.3,113.87,130.72,120.78
18.0,127.3,117.13,79.73,93.0,82.9,125.35,116.63,91.35,119.62,113.22
19.0,93.33,115.5,79.98,85.12,73.0,117.53,110.23,88.68,113.37,102.1
20.0,104.0,112.62,90.12,80.72,87.38,100.62,92.78,89.58,116.65,85.4
21.0,108.23,115.62,73.2,81.77,86.35,83.77,82.85,85.6,105.52,89.4
22.0,124.32,131.28,99.97,90.42,98.63,106.72,87.77,97.0,117.2,73.53
23.0,99.22,124.02,76.47,95.2,109.22,95.65,95.15,101.17,122.83,78.33
24.0,89.5,106.48,92.15,90.83,85.53,100.17,87.6,103.97,118.45,81.97
25.0,83.73,120.63,110.3,78.8,101.12,83.72,83.22,105.55,113.82,89.42
26.0,92.05,104.4,97.95,109.4,93.87,85.88,94.03,79.77,107.32,86.45
27.0,80.37,86.82,100.38,82.53,76.02,90.65,90.33,99.68,104.92,84.0
28.0,79.2,105.28,96.42,84.6,59.63,96.48,74.38,129.42,89.3,72.9
29.0,82.47,114.53,74.95,74.87,93.3,89.23,80.75,131.15,92.87,88.25
30.0,81.28,102.78,88.48,87.57,93.73,89.9,68.65,101.07,96.05,85.45
31.0,79.0,99.63,80.27,108.52,83.33,91.27,82.22,90.37,101.65,74.97
32.0,85.52,110.43,73.13,91.32,80.63,91.7,82.4,78.98,89.05,79.58
33.0,75.33,113.97,146.3,74.95,92.05,87.15,76.6,73.12,87.12,83.32
34.0,68.95,96.83,125.55,77.75,104.7,84.35,81.02,79.8,95.15,71.02
35.0,85.25,100.63,80.15,78.7,106.8,84.47,74.17,80.87,88.62,78.38
36.0,129.42,109.47,98.52,85.18,106.55,78.48,86.8,79.77,86.33,69.9
37.0,119.25,108.07,66.35,74.23,96.05,78.85,72.88,85.77,95.97,82.35
38.0,118.52,113.65,89.77,74.3,94.25,78.45,83.93,81.7,88.3,81.97
39.0,121.0,107.02,99.27,83.33,94.12,71.3,86.47,88.37,89.73,83.93
40.0,119.45,112.3,88.98,83.58,109.13,78.12,75.97,71.43,83.25,80.88
41.0,93.1,114.52,94.92,76.92,118.17,73.93,85.77,82.4,86.58,88.4
42.0,92.97,108.72,91.17,82.27,108.62,77.07,81.78,84.48,88.23,83.17
43.0,90.9,114.58,86.27,81.18,108.72,71.37,94.28,81.22,91.42,82.1
44.0,99.22,109.72,80.08,66.12,92.07,71.27,94.63,75.12,86.7,79.53
45.0,113.98,87.18,103.08,77.72,107.02,75.48,85.68,64.48,85.35,75.37
46.0,78.77,102.1,92.5,86.22,78.77,81.08,88.73,59.18,90.4,68.95
47.0,77.98,94.95,91.18,78.78,75.53,71.02,88.97,75.88,85.88,110.13
48.0,99.67,104.43,86.07,76.12,103.65,75.35,77.92,72.87,86.25,93.63
49.0,113.07,105.87,92.62,76.92,111.58,68.42,73.35,80.45,83.45,73.5
50.0,113.28,107.58,61.3,79.92,118.12,67.67,84.8,97.07,87.23,112.68
51.0,108.1,108.8,90.97,81.55,108.48,82.17,107.45,91.8,84.9,88.5
52.0,94.92,108.95,76.25,70.45,100.83,87.98,98.73,91.23,87.5,79.98
53.0,91.55,107.35,62.77,60.62,105.68,79.38,89.0,75.58,83.82,81.37
54.0,105.87,114.23,77.22,58.63,86.97,78.78,75.9,75.15,86.85,84.48
55.0,83.78,106.07,112.68,73.58,72.85,80.02,78.42,72.98,84.4,74.4
56.0,88.77,80.55,112.58,89.63,87.4,72.17,74.52,78.35,88.13,75.92
57.0,67.98,81.47,92.45,67.07,74.98,75.07,81.93,78.07,82.3,87.63
58.0,85.0,102.15,96.83,96.27,103.98,77.0,81.22,72.68,82.2,73.6
59.0,90.02,80.2,87.4,76.15,87.35,72.03,143.12,70.02,84.12,76.65
60.0,77.57,93.9,87.08,94.93,82.13,67.93,115.68,95.55,85.02,81.53
61.0,77.03,118.43,93.58,98.33,91.2,73.37,80.43,86.65,84.45,77.95
62.0,103.85,119.87,61.92,91.58,99.98,74.08,64.57,66.2,95.92,82.58
63.0,88.38,111.17,109.23,82.33,100.43,71.93,73.18,70.22,78.57,77.25
64.0,112.23,108.52,90.77,86.43,101.28,79.1,70.97,69.67,77.58,80.98
65.0,101.33,109.98,84.32,81.17,92.73,68.6,75.5,81.0,71.77,124.65
66.0,89.4,103.8,86.45,75.35,82.98,79.55,69.1,75.63,85.43,85.47
67.0,95.47,103.42,91.17,63.62,90.33,69.9,72.83,80.97,83.37,75.0
68.0,104.47,106.1,81.72,77.08,100.53,59.68,76.18,87.87,83.03,68.38
69.0,108.92,106.85,76.12,72.4,79.5,64.97,92.32,91.48,81.08,81.95
70.0,104.57,110.38,74.53,70.88,77.68,76.6,107.55,122.1,81.83,90.48
71.0,104.3,122.05,97.95,69.0,95.63,75.55,82.0,121.15,84.4,79.08
72.0,95.28,110.0,83.58,75.07,106.93,73.57,78.45,77.25,83.25,98.32
73.0,93.23,108.08,79.48,75.78,98.98,83.78,72.22,70.18,82.95,101.65
74.0,110.9,107.27,67.17,83.43,101.12,71.1,89.75,65.92,83.28,88.75
75.0,103.58,110.18,88.32,79.57,102.22,80.27,89.8,74.22,79.88,89.52
76.0,101.0,115.42,99.77,71.1,114.58,72.6,91.7,79.52,78.77,78.68
77.0,75.8,113.08,86.4,80.52,100.78,70.23,64.12,75.63,81.52,83.15
78.0,76.58,117.47,70.4,83.02,108.63,68.17,77.7,75.8,78.02,66.68
79.0,78.6,120.23,76.95,73.98,99.77,71.03,89.28,62.22,78.03,81.37
80.0,90.85,114.67,92.58,68.22,88.9,69.87,145.72,63.73,80.6,70.6
81.0,104.97,117.75,101.65,74.0,94.62,67.77,112.17,96.63,80.28,80.82
82.0,102.38,111.5,87.85,81.85,101.93,74.33,101.8,101.0,80.0,76.58
83.0,84.75,110.43,90.75,73.2,93.1,81.85,113.2,90.22,77.35,86.75
84.0,103.33,110.6,89.35,71.9,106.68,79.73,127.77,83.53,77.95,96.65
85.0,104.18,115.33,87.43,75.65,101.63,68.72,117.42,73.85,78.08,95.92
86.0,118.17,117.97,87.7,91.52,102.35,72.42,108.98,82.75,76.85,67.8
87.0,110.25,116.27,74.7,67.93,106.62,71.27,105.48,83.42,78.22,82.13
88.0,101.2,115.72,65.73,70.3,91.77,70.23,76.95,101.28,90.2,74.82
89.0,107.08,113.62,68.7,73.55,102.75,74.45,76.7,81.12,80.68,93.88
90.0,100.03,110.25,73.1,73.82,68.17,77.95,75.5,85.2,73.37,72.9
91.0,110.95,83.87,76.28,81.62,71.65,76.77,74.5,102.25,78.33,81.08
92.0,76.05,110.52,80.9,107.95,67.87,88.67,86.03,90.05,78.92,98.52
93.0,108.95,109.13,71.17,91.0,67.25,70.35,74.9,81.08,75.23,100.22
94.0,108.08,111.68,79.33,98.97,86.12,72.47,69.27,103.75,77.95,79.72
95.0,96.72,114.78,85.85,87.68,79.83,62.65,73.97,92.23,74.72,79.78
96.0,105.92,117.45,88.77,73.13,83.05,64.9,74.33,90.17,77.93,88.73
97.0,94.9,112.65,79.87,76.62,81.33,72.63,63.25,87.78,76.28,85.72
98.0,82.35,116.5,81.72,69.32,89.32,68.13,84.42,90.85,77.4,85.37
99.0,97.47,106.08,84.88,80.02,113.43,89.57,78.83,79.98,80.87,80.0
100.0,111.15,114.15,85.42,78.82,95.55,84.17,76.32,75.8,72.03,82.03
101.0,111.5,113.5,73.52,73.52,92.85,75.67,87.55,85.82,70.47,86.87
102.0,99.83,111.07,71.15,66.47,95.12,74.28,96.85,69.17,71.6,88.45
103.0,84.78,109.37,97.77,77.1,91.32,115.75,73.63,95.13,77.3,94.77
104.0,87.57,104.55,96.12,80.4,79.72,83.3,76.73,99.42,79.5,81.33
105.0,92.63,109.9,104.77,75.93,85.17,73.67,77.88,86.03,74.77,92.0
106.0,99.17,104.25,113.32,67.37,86.95,69.28,70.12,88.18,75.98,107.5
107.0,112.17,98.62,124.2,75.67,93.18,82.75,70.48,89.08,73.88,93.7
108.0,102.25,99.53,122.8,78.18,87.57,74.85,77.92,82.68,76.7,104.18
109.0,88.67,105.37,100.62,80.45,104.88,86.1,73.83,83.43,78.95,93.58
110.0,79.42,102.2,90.52,83.08,120.33,91.77,79.27,75.17,83.62,84.82
111.0,79.98,103.38,106.35,83.17,99.08,68.87,60.53,79.58,76.2,76.4
112.0,76.15,101.57,91.82,74.38,70.7,72.62,80.12,71.07,75.78,76.3
113.0,73.33,103.72,86.13,78.02,76.32,72.92,94.57,75.65,80.12,76.08
114.0,103.67,108.45,83.03,103.38,83.33,81.43,105.42,80.45,78.88,85.33
115.0,111.97,109.17,81.98,89.8,92.0,71.85,94.1,85.77,77.98,82.8
116.0,97.4,101.6,88.27,75.68,75.05,79.67,106.67,82.37,72.17,65.45
117.0,90.72,102.55,86.37,72.25,91.02,75.95,109.4,78.38,70.63,77.6
118.0,89.8,104.62,64.72,84.32,94.85,93.0,71.85,83.93,63.92,86.83
119.0,81.83,109.58,81.28,74.82,86.85,79.5,89.87,82.87,75.1,91.42
120.0,62.92,107.82,91.97,73.43,85.17,70.38,76.35,99.33,85.18,89.27
121.0,87.6,105.6,85.5,88.03,78.0,66.67,67.85,90.95,79.88,70.92
122.0,82.77,101.55,69.78,67.0,100.07,67.1,77.9,95.75,77.38,85.45
123.0,91.07,105.9,83.85,85.82,77.82,75.78,67.68,95.83,79.63,83.4
124.0,75.53,111.38,93.25,75.63,78.13,74.85,64.27,89.17,75.63,88.63
125.0,79.47,109.98,99.35,72.9,63.55,80.4,78.3,75.9,78.23,85.28
126.0,73.7,107.8,93.62,91.48,59.63,70.67,76.08,84.03,81.4,62.95
127.0,127.5,107.92,82.13,92.18,72.3,69.42,69.33,91.38,79.65,77.13
128.0,108.55,108.87,71.32,72.33,76.7,71.05,68.23,80.53,76.62,83.18
129.0,107.53,108.1,78.17,76.38,106.25,70.93,79.88,76.57,77.85,76.42
130.0,66.2,112.72,70.67,66.1,96.08,71.77,88.93,79.83,80.78,73.88
131.0,80.28,116.72,76.05,64.88,90.78,69.08,74.67,112.15,74.03,75.82
132.0,90.07,112.58,97.38,100.73,81.42,67.7,74.63,107.27,77.8,84.67
133.0,82.05,111.83,84.23,109.43,75.93,76.32,83.42,94.6,78.42,89.18
134.0,70.65,107.45,103.58,135.62,84.62,91.13,89.7,75.58,78.52,84.8
135.0,69.88,110.15,72.18,114.67,89.22,79.63,120.25,84.78,72.62,83.85
136.0,88.65,109.43,76.53,97.23,90.32,72.35,91.73,92.93,76.9,77.82
137.0,82.43,109.98,82.4,75.55,88.08,70.25,74.92,88.27,76.2,93.1
