relative_time,S1_TEMP,S2_TEMP,S3_TEMP,S4_TEMP,S5_TEMP,S6_TEMP,S7_TEMP,S8_TEMP,S9_TEMP,S10_TEMP
0.0,21.89,22.73,21.69,21.75,21.71,22.59,22.51,22.21,21.77,22.41
1.0,22.29,22.75,21.97,21.75,21.97,22.63,22.71,22.35,22.11,22.43
2.0,21.73,22.43,21.43,21.33,22.01,22.11,22.05,22.29,21.93,21.71
3.0,22.27,22.65,21.97,21.63,22.01,22.55,22.35,22.33,22.33,22.23
4.0,22.39,22.71,22.13,21.69,22.09,22.63,22.41,22.43,22.45,22.31
5.0,22.49,22.75,22.23,21.75,22.15,22.71,22.49,22.47,22.43,22.37
6.0,22.09,22.65,22.01,21.71,22.17,22.41,22.37,22.49,22.31,22.05
7.0,19.27,21.19,19.53,20.67,21.25,19.31,20.97,22.03,20.55,18.73
8.0,19.41,21.87,20.04,20.97,21.45,20.11,21.79,22.41,21.03,19.85
9.0,18.96,21.13,19.39,20.77,21.11,18.95,20.81,21.71,20.17,18.46
10.0,18.33,20.45,18.91,20.53,20.04,18.96,20.31,21.23,20.01,17.7
11.0,20.61,21.15,19.99,20.51,20.46,20.83,21.01,21.33,20.77,20.17
12.0,20.87,21.31,21.33,20.59,27.93,20.85,21.15,21.33,20.95,20.53
13.0,21.05,21.39,21.49,20.41,28.29,21.05,21.23,24.13,21.05,20.91
14.0,21.19,21.45,21.87,28.17,28.49,21.15,21.31,29.77,21.17,21.09
15.0,21.27,21.47,21.67,28.45,28.39,21.21,21.35,31.15,21.21,21.13
16.0,21.29,21.47,27.79,28.75,28.23,21.25,21.33,31.15,21.23,21.13
17.0,21.45,21.49,28.17,28.73,27.91,21.33,21.39,30.97,21.27,21.33
18.0,21.39,21.53,28.39,28.77,27.57,21.35,21.43,31.07,21.33,21.33
19.0,22.83,29.17,28.43,28.95,27.97,22.27,21.43,31.21,21.37,20.49
20.0,26.27,29.53,28.27,28.83,27.97,21.93,26.93,31.07,21.37,21.63
21.0,29.89,29.89,28.45,28.85,27.97,22.15,27.13,31.15,21.41,21.31
22.0,29.97,30.15,28.41,28.79,28.45,21.99,27.19,30.79,21.43,28.63
23.0,30.11,30.39,28.21,28.91,29.03,23.21,27.17,30.83,21.43,29.47
24.0,30.25,30.61,28.13,28.99,29.71,30.13,27.19,30.97,21.45,29.85
25.0,30.33,30.77,28.05,29.01,30.01,30.15,27.11,31.23,22.41,30.09
26.0,30.37,30.87,28.19,29.33,30.47,29.95,27.17,30.85,32.15,30.09
27.0,30.41,30.99,28.25,28.99,30.85,29.77,27.39,30.91,32.45,30.09
28.0,30.43,31.25,28.15,29.23,30.95,29.81,27.89,31.03,32.5,30.37
29.0,30.37,31.43,28.27,29.39,31.03,29.99,27.65,30.95,32.45,30.25
30.0,30.47,31.45,28.07,29.09,31.11,30.11,27.95,30.85,32.47,30.13
31.0,30.45,31.43,28.09,29.15,31.25,30.17,28.21,30.65,32.39,29.99
32.0,30.51,31.41,28.47,29.01,31.01,30.15,27.33,30.77,32.29,30.21
33.0,30.55,31.43,28.11,29.25,30.87,30.19,27.39,30.95,32.05,30.13
34.0,30.63,31.55,27.93,29.37,30.89,30.29,27.43,30.85,32.03,30.03
35.0,30.67,31.73,27.71,29.69,31.01,30.33,27.49,30.77,32.25,30.11
36.0,30.63,31.93,27.59,29.91,31.19,30.51,27.57,30.27,32.41,30.39
37.0,30.67,32.07,28.37,30.19,30.99,30.61,27.65,29.41,32.37,30.37
38.0,30.65,32.13,28.97,30.47,31.17,30.43,27.63,29.71,32.31,30.53
39.0,30.55,32.21,29.51,30.61,31.41,30.45,27.65,29.81,32.25,30.59
40.0,30.49,32.33,30.19,30.57,31.39,30.63,27.69,30.03,32.33,30.75
41.0,30.45,32.41,30.79,30.47,31.49,30.75,27.53,30.55,32.41,30.99
42.0,30.65,32.43,31.19,30.73,31.65,30.85,27.49,30.89,32.41,30.95
43.0,30.69,32.45,30.99,30.81,31.81,30.99,27.49,31.29,32.16,30.75
44.0,30.69,32.45,30.97,30.93,31.85,31.13,27.55,31.53,31.97,30.69
45.0,30.79,32.39,30.93,31.11,31.93,31.21,27.55,31.49,32.11,30.75
46.0,30.79,32.5,30.89,31.23,32.0,31.21,27.61,31.59,32.18,30.93
47.0,30.77,32.65,31.15,31.21,32.23,31.21,27.59,32.13,32.16,31.01
48.0,30.79,32.79,30.97,31.15,32.29,31.29,27.55,32.23,32.16,31.19
49.0,30.71,32.91,30.99,31.11,32.39,31.35,27.57,32.29,32.27,30.97
50.0,30.77,33.0,30.91,31.25,32.43,31.43,27.59,32.57,32.43,30.55
51.0,30.83,33.07,31.01,31.45,32.61,31.47,27.63,32.59,32.59,30.63
52.0,30.85,33.11,31.15,31.37,32.79,31.47,27.57,32.89,32.75,30.45
53.0,30.85,33.21,31.37,31.39,32.89,31.45,27.53,33.13,32.87,30.49
54.0,30.79,33.29,31.49,31.41,33.15,31.49,27.59,33.03,33.03,30.59
55.0,30.73,33.29,31.75,31.55,33.21,31.53,27.57,32.89,33.16,30.71
56.0,30.69,33.31,31.77,31.49,33.21,31.55,27.65,32.75,33.29,30.65
57.0,30.67,33.37,31.87,31.47,33.15,31.59,27.71,33.11,33.34,30.41
58.0,30.79,33.49,31.93,31.53,33.13,31.75,27.81,33.33,33.49,30.03
59.0,30.87,33.61,31.87,31.33,33.18,31.89,27.89,33.39,33.53,29.91
60.0,30.87,33.73,32.03,31.19,33.34,31.99,27.75,33.71,33.61,30.35
61.0,30.91,33.84,32.16,31.17,33.31,32.05,27.63,33.21,33.68,30.25
62.0,30.99,33.93,32.07,31.27,33.39,32.15,27.61,33.25,33.68,30.27
63.0,31.05,33.99,32.21,31.41,33.5,32.21,27.71,33.47,33.75,29.85
64.0,31.15,34.09,32.29,31.53,33.0,32.33,27.65,33.53,33.81,29.93
65.0,31.11,34.11,32.21,31.61,33.34,32.37,27.77,33.73,33.84,30.11
66.0,30.95,34.18,32.03,31.71,33.33,32.31,27.73,33.66,33.84,29.97
67.0,30.99,34.21,32.07,31.79,33.75,32.43,27.71,33.34,33.79,29.81
68.0,30.97,34.27,32.03,32.05,33.83,32.53,27.65,33.79,33.83,29.91
69.0,31.05,34.31,32.15,31.95,33.91,32.59,27.69,33.84,33.97,30.05
70.0,31.05,34.39,32.21,32.0,33.93,32.68,27.73,33.73,33.95,30.05
71.0,31.03,34.37,32.34,32.21,33.95,32.75,27.87,33.75,33.89,30.23
72.0,31.01,34.41,32.43,32.15,33.89,32.83,27.97,34.13,34.03,30.13
73.0,30.91,34.49,32.39,31.77,33.81,32.83,27.91,34.66,34.03,30.21
74.0,30.91,34.49,32.33,31.37,33.75,32.87,28.55,34.73,34.05,30.53
75.0,30.91,34.53,32.25,31.41,33.75,32.91,28.53,34.63,34.07,30.63
76.0,30.71,34.63,32.11,31.49,33.75,33.0,28.35,34.55,34.18,30.73
77.0,30.69,34.71,32.09,31.41,33.77,33.13,28.29,34.57,34.18,30.77
78.0,30.77,34.79,32.07,31.41,33.77,33.21,28.23,34.47,34.23,30.75
79.0,30.73,34.81,32.07,31.51,33.77,33.25,28.33,34.5,34.29,31.01
80.0,30.63,34.84,31.93,31.73,33.77,33.31,29.07,34.68,34.34,30.81
81.0,30.65,34.87,32.0,31.83,33.81,33.34,28.49,34.39,34.29,30.71
82.0,30.55,34.84,32.0,32.0,33.89,33.43,28.63,34.33,34.34,30.57
83.0,30.61,34.93,32.0,32.0,33.93,33.34,29.21,34.25,34.39,30.57
84.0,30.63,35.03,32.16,31.53,33.77,33.23,29.03,34.71,34.33,30.45
85.0,30.61,35.07,32.41,31.37,33.83,33.13,29.21,34.59,34.31,30.53
86.0,30.45,35.15,32.39,31.61,33.81,33.09,29.29,34.41,34.33,30.67
87.0,30.41,35.18,32.41,31.75,33.93,33.18,29.17,34.49,34.41,31.03
88.0,30.39,35.25,32.37,31.99,33.87,33.18,29.37,34.65,34.43,31.05
89.0,30.45,35.27,32.37,32.15,33.84,33.23,29.65,34.59,34.45,30.79
90.0,30.27,35.29,32.21,32.23,33.83,33.23,29.29,34.41,34.41,30.99
91.0,30.31,35.25,32.29,32.09,33.71,33.27,29.33,34.37,34.39,30.89
92.0,30.23,35.31,32.21,31.77,33.55,33.29,29.49,33.99,34.45,30.77
93.0,30.17,35.34,32.15,32.0,33.57,33.39,29.49,34.21,34.33,30.53
94.0,30.19,35.43,32.13,31.97,33.41,33.29,29.29,34.31,34.37,30.79
95.0,30.15,35.45,32.21,32.07,33.34,33.21,29.53,34.09,34.41,30.77
96.0,30.09,35.47,32.27,32.21,33.49,33.15,29.49,34.29,34.37,30.53
97.0,30.05,35.49,32.31,32.21,33.47,33.21,29.53,34.31,34.37,30.57
98.0,30.11,35.57,32.53,32.25,33.39,33.16,29.49,34.47,34.41,30.65
99.0,30.15,35.57,32.81,32.29,33.23,33.13,29.35,34.0,34.41,30.95
100.0,30.07,35.59,32.71,32.23,33.23,33.18,29.35,33.79,34.39,31.13
