S1_time,S1_IBI,S2_time,S2_IBI,S3_time,S3_IBI,S4_time,S4_IBI,S5_time,S5_IBI,S6_time,S6_IBI,S7_time,S7_IBI,S8_time,S8_IBI,S9_time,S9_IBI,S10_time,S10_IBI
84.847634,0.468771,77.847314,0.43752,19.594647,0.359391,88.129034,0.421894,240.823524,1.734454,77.347291,0.43752,76.941022,0.500023,19.250881,0.43752,80.175545,0.484397,90.535394,0.453146
85.347657,0.500023,78.378588,0.531274,30.016999,0.43752,88.566554,0.43752,242.589229,1.765706,77.816062,0.468771,77.441045,0.500023,19.672776,0.421894,80.644317,0.468771,90.910411,0.375017
85.722674,0.375017,78.816108,0.43752,30.407642,0.390643,89.004074,0.43752,270.778019,0.937543,78.284833,0.468771,78.00357,0.562526,24.219859,0.390643,81.066211,0.421894,91.394809,0.484397
107.754932,0.43752,79.284879,0.468771,30.767033,0.359391,89.472846,0.468771,335.218469,0.515649,78.784856,0.500023,78.425465,0.421894,24.563624,0.343766,81.488106,0.421894,105.676712,0.484397
108.223704,0.468771,79.800528,0.515649,149.866235,0.453146,89.925991,0.453146,340.499961,0.453146,79.175499,0.390643,78.87861,0.453146,95.082477,0.453146,132.724826,0.468771,106.067355,0.390643
108.645598,0.421894,80.253674,0.453146,150.397509,0.531274,90.347886,0.421894,827.412874,0.5469,79.628645,0.453146,79.394259,0.515649,95.535623,0.453146,133.162346,0.43752,106.583004,0.515649
109.11437,0.468771,80.722445,0.468771,150.850655,0.453146,90.754154,0.406269,827.9754,0.562526,80.034914,0.406269,87.754017,0.531274,106.332992,0.500023,143.459692,0.5469,161.413638,0.468771
109.520638,0.406269,81.159965,0.43752,151.303801,0.453146,91.160423,0.406269,828.709808,0.734409,80.503685,0.468771,88.160285,0.406269,106.708009,0.375017,215.197351,0.562526,303.592021,0.375017
109.98941,0.468771,81.644362,0.484397,151.803824,0.500023,91.660446,0.500023,845.694961,0.531274,80.878702,0.375017,88.675934,0.515649,107.161155,0.453146,298.029268,0.421894,304.123296,0.531274
110.442555,0.453146,82.066257,0.421894,152.272595,0.468771,93.863672,0.421894,856.27357,0.796911,81.331848,0.453146,89.082202,0.406269,144.662872,0.609403,298.498039,0.468771,304.513939,0.390643
110.958204,0.515649,82.519403,0.453146,152.741367,0.468771,94.348069,0.484397,856.992353,0.718783,81.738117,0.406269,89.597851,0.515649,261.746356,0.921917,298.85743,0.359391,305.029587,0.515649
113.05205,0.484397,82.925671,0.406269,153.194512,0.453146,588.839454,0.500023,857.726762,0.734409,82.191262,0.453146,90.066622,0.468771,262.621396,0.87504,302.060702,0.453146,305.435856,0.406269
