S1_time,S1_IBI,S2_time,S2_IBI,S3_time,S3_IBI,S4_time,S4_IBI,S5_time,S5_IBI,S6_time,S6_IBI,S7_time,S7_IBI,S8_time,S8_IBI,S9_time,S9_IBI,S10_time,S10_IBI
166.788885,0.390643,68.065616,0.359391,95.895015,0.484397,35.095357,0.343766,21.563487,0.43752,94.535578,0.312514,65.846764,0.515649,113.286436,0.500023,40.73624,0.43752,34.126562,0.531274
217.697465,0.421894,68.37813,0.312514,119.036699,0.578151,106.567378,0.515649,21.922879,0.359391,185.58662,0.343766,92.988631,0.421894,119.692979,0.359391,104.567286,0.484397,66.987441,0.421894
219.775685,0.468771,68.70627,0.32814,202.649901,0.390643,226.947889,0.32814,79.409885,0.312514,213.447271,0.390643,120.81803,0.484397,153.225764,0.65628,165.585705,0.32814,67.378084,0.390643
220.181954,0.406269,169.898402,0.43752,203.009293,0.359391,379.56425,0.343766,114.442739,0.32814,213.759785,0.312514,178.242534,0.359391,165.210687,0.32814,309.920436,0.421894,67.690598,0.312514
475.599895,0.390643,202.228007,0.421894,203.431187,0.421894,389.127187,0.390643,149.131826,0.43752,428.566493,0.375017,274.981337,0.625029,179.89886,0.375017,310.295454,0.375017,100.582729,0.468771
544.196785,0.500023,237.792135,0.32814,226.604123,0.312514,389.564707,0.43752,149.616224,0.484397,434.066744,0.32814,275.575114,0.593777,222.369554,0.406269,310.764225,0.468771,164.241893,0.515649
568.557276,0.43752,258.324325,0.5469,347.000259,0.390643,417.612866,0.406269,150.210001,0.593777,464.740023,0.421894,308.873513,0.312514,250.933361,0.390643,336.906047,0.421894,246.683167,0.375017
568.932293,0.375017,343.281338,0.43752,350.797308,0.43752,417.92538,0.312514,150.756901,0.5469,470.521538,0.453146,338.39049,0.375017,305.670242,0.406269,434.613644,0.312514,326.014923,0.375017
603.215112,0.515649,463.1462,0.390643,429.004013,0.421894,422.488089,0.500023,183.008377,0.43752,563.603924,0.375017,349.015976,0.375017,306.170265,0.500023,480.568873,0.390643,331.577678,0.5469
714.220193,0.484397,463.552469,0.406269,560.369401,0.343766,443.535928,0.500023,284.903666,0.359391,564.135198,0.531274,353.969328,0.468771,395.330596,0.32814,657.920741,0.500023,390.424121,0.453146
729.455266,0.562526,511.42966,0.5469,560.697541,0.32814,503.210534,0.515649,285.309935,0.406269,592.745883,0.5469,370.95448,0.468771,395.674362,0.343766,753.534492,0.390643,517.351806,0.453146
793.692581,0.421894,511.992186,0.562526,701.219598,0.453146,503.569926,0.359391,292.153998,0.359391,598.246135,0.453146,371.407626,0.453146,410.190651,0.562526,766.550713,0.484397,590.058259,0.375017
794.176978,0.484397,530.961804,0.343766,701.68837,0.468771,528.258556,0.312514,324.20234,0.421894,598.761783,0.515649,625.403627,0.375017,617.622021,0.484397,766.956982,0.406269,701.766498,0.375017
800.55227,0.500023,561.041306,0.421894,763.09743,0.531274,528.57107,0.312514,324.702363,0.500023,1225.649853,0.484397,634.904062,0.484397,680.578028,0.375017,767.425753,0.468771,716.595302,0.5469
920.526512,0.515649,607.840323,0.390643,803.83367,0.421894,539.493445,0.406269,847.101275,0.406269,1282.339948,0.343766,638.951123,0.390643,692.078554,0.468771,776.0824,0.421894,720.079836,0.5469
920.917155,0.390643,608.309095,0.468771,804.193062,0.359391,544.39992,0.453146,847.491918,0.390643,1464.082643,0.468771,639.404268,0.453146,692.562952,0.484397,848.61697,0.312514,720.486105,0.406269
921.448429,0.531274,608.762241,0.453146,817.818685,0.468771,544.806188,0.406269,856.60171,0.453146,1488.255624,0.375017,726.548882,0.453146,692.96922,0.406269,894.290936,0.312514,775.519874,0.718783
927.448704,0.453146,756.550256,0.359391,852.945293,0.484397,545.16558,0.359391,856.961102,0.359391,1488.786898,0.531274,790.145543,0.406269,693.359863,0.390643,1221.884056,0.531274,913.354308,0.43752
972.091372,0.359391,756.940898,0.390643,1024.187507,0.531274,567.369721,0.468771,1124.817113,0.32814,1571.650066,0.484397,811.974668,0.515649,693.719254,0.359391,1331.217185,0.343766,913.791828,0.43752
972.513266,0.421894,831.928706,0.468771,1091.112445,0.484397,571.088641,0.359391,1514.131808,0.406269,1572.150089,0.500023,829.553597,0.5469,694.078646,0.359391,1400.517233,0.343766,1110.472706,0.359391
1088.346694,0.375017,879.024612,0.453146,1225.446719,0.359391,571.479284,0.390643,1514.538077,0.406269,1574.931467,0.5469,830.194252,0.640654,697.938198,0.421894,1414.736634,0.375017,1183.351042,0.531274
1197.851706,0.343766,879.509009,0.484397,1263.557839,0.359391,785.176566,0.43752,1522.882209,0.500023,1604.339063,0.468771,980.591761,0.406269,698.297589,0.359391,1453.488407,0.484397,1183.913568,0.562526
1198.16422,0.312514,897.212944,0.375017,1263.91723,0.359391,883.712327,0.562526,1528.929361,0.484397,1633.574776,0.609403,987.920221,0.390643,744.580958,0.32814,1487.239952,0.562526,1203.08632,0.343766
1243.49442,0.312514,1038.735047,0.359391,1264.24537,0.32814,893.165884,0.593777,1529.491886,0.562526,1636.324902,0.593777,994.45177,0.32814,749.753069,0.32814,1487.911858,0.671906,1205.367675,0.453146
1243.806935,0.312514,1064.048706,0.406269,1278.558525,0.359391,908.166571,0.500023,1529.945032,0.453146,1649.403625,0.500023,994.77991,0.32814,970.935069,0.468771,1491.302638,0.531274,1394.360701,0.453146
1303.919061,0.484397,1146.16184,0.32814,1356.124576,0.343766,957.996977,0.375017,1530.476306,0.531274,1651.669354,0.5469,1139.114642,0.562526,971.278835,0.343766,1491.802661,0.500023,1424.877723,0.43752
1431.659283,0.5469,1171.72551,0.406269,1356.43709,0.312514,1041.407045,0.484397,1535.585915,0.500023,1672.32655,0.5469,1139.536536,0.421894,1058.173437,0.343766,1492.333935,0.531274,1520.647732,0.375017
1477.411378,0.531274,1246.400803,0.343766,1356.812107,0.375017,1052.282543,0.359391,1536.179693,0.593777,1677.24865,0.390643,1139.942805,0.406269,1158.584283,0.43752,1492.86521,0.531274,1521.038374,0.390643
1478.036406,0.625029,1398.37651,0.390643,1365.781268,0.421894,1173.647473,0.468771,1536.726593,0.5469,1750.87702,0.484397,1203.52384,0.531274,1159.037429,0.453146,1493.427736,0.562526,1521.38214,0.343766
1478.536429,0.500023,1415.642925,0.359391,1392.891884,0.375017,1174.100619,0.453146,1537.257867,0.531274,1751.502049,0.625029,1264.886024,0.43752,1159.490575,0.453146,1493.896507,0.468771,1521.81966,0.43752
1485.552375,0.484397,1415.955439,0.312514,1436.065735,0.640654,1288.215217,0.32814,1537.742264,0.484397,1751.97082,0.468771,1265.261041,0.375017,1308.716156,0.390643,1494.334027,0.43752,1524.304149,0.562526
1486.068024,0.515649,1416.283579,0.32814,1436.800144,0.734409,1288.668363,0.453146,1538.164158,0.421894,1786.222388,0.468771,1265.604807,0.343766,1318.904122,0.421894,1494.818424,0.484397,1531.507604,0.515649
1486.63055,0.562526,1461.457522,0.343766,1437.347044,0.5469,1302.231484,0.375017,1538.664181,0.500023,1858.850713,0.343766,1272.261362,0.43752,1402.079804,0.5469,1500.381179,0.484397,1532.070129,0.562526
1487.17745,0.5469,1461.910668,0.453146,1441.425355,0.5469,1371.094011,0.468771,1539.17983,0.515649,1907.352933,0.421894,1339.108172,0.468771,1412.252145,0.390643,1500.896827,0.515649,1532.617029,0.5469
1487.599344,0.421894,1509.772234,0.609403,1441.987881,0.562526,1371.594034,0.500023,1539.648601,0.468771,1955.433259,0.390643,1339.608195,0.500023,1412.689665,0.43752,1501.349973,0.453146,1533.163929,0.5469
1488.130618,0.531274,1510.225379,0.453146,1442.425401,0.43752,1372.078431,0.484397,1545.180104,0.500023,1955.839527,0.406269,1386.59472,0.406269,1471.520483,0.375017,1501.818745,0.468771,1535.585915,0.531274
1498.77173,0.578151,1521.81966,0.468771,1442.987927,0.562526,1469.520391,0.406269,1545.680127,0.500023,2137.410339,0.515649,1517.944483,0.390643,1483.239769,0.406269,1506.912728,0.562526,1541.054916,0.500023
1499.271753,0.500023,1535.78905,0.593777,1443.550453,0.562526,1470.051666,0.531274,1550.164708,0.531274,2139.222922,0.390643,1518.288249,0.343766,1483.739792,0.500023,1507.428376,0.515649,1541.570564,0.515649
1499.803028,0.531274,1536.351575,0.562526,1444.097353,0.5469,1473.004926,0.343766,1575.228355,0.562526,2151.145342,0.375017,1570.806278,0.562526,1524.866675,0.43752,1507.959651,0.531274,1545.539496,0.484397
1500.271799,0.468771,1536.804721,0.453146,1444.519247,0.421894,1486.833684,0.515649,1582.900581,0.5469,2160.536397,0.468771,1606.432908,0.578151,1604.479694,0.343766,1508.522177,0.562526,1546.102022,0.562526
1500.693693,0.421894,1537.445375,0.640654,1448.066284,0.484397,1487.349333,0.515649,1583.447481,0.5469,2161.067672,0.531274,1615.683332,0.312514,1619.308498,0.421894,1509.053451,0.531274,1625.90255,0.468771
1501.224968,0.531274,1538.08603,0.640654,1448.62881,0.562526,1628.121401,0.484397,1584.010007,0.562526,2287.073439,0.390643,1634.074799,0.390643,1687.045973,0.343766,1509.569099,0.515649,1626.418198,0.515649
1501.787493,0.562526,1538.617304,0.531274,1449.17571,0.5469,1628.683927,0.562526,1584.603784,0.593777,2290.964242,0.484397,1634.465441,0.390643,1730.610467,0.375017,1534.085847,0.500023,1648.497334,0.406269
1502.209388,0.421894,1539.101701,0.484397,1449.738236,0.562526,1687.108476,0.453146,1585.103807,0.500023,2351.170123,0.500023,1634.840459,0.375017,1730.954233,0.343766,1539.086076,0.531274,1648.966105,0.468771
1531.070084,0.359391,1556.508748,0.500023,1452.12897,0.421894,1812.223578,0.343766,1585.681958,0.578151,2471.175617,0.484397,1891.774095,0.375017,1731.282373,0.32814,1542.008084,0.312514,1738.142062,0.500023
1541.414307,0.531274,1557.024397,0.515649,1456.113528,0.453146,1988.934792,0.531274,1592.729156,0.43752,2548.757293,0.43752,2127.706769,0.343766,1863.038404,0.343766,1542.367476,0.359391,1738.688962,0.5469
1541.961207,0.5469,1557.430665,0.406269,1456.566674,0.453146,2029.561652,0.453146,1605.47974,0.531274,2572.961526,0.359391,2128.113038,0.406269,1882.16428,0.32814,1545.117602,0.500023,1739.329617,0.640654
1583.009961,0.578151,1559.743271,0.468771,1457.176076,0.609403,2029.936669,0.375017,1605.964137,0.484397,2632.323618,0.468771,2292.979959,0.359391,1944.167118,0.359391,1545.664502,0.5469,1742.01724,0.484397
1585.16631,0.43752,1609.479923,0.578151,1457.629222,0.453146,2122.659663,0.421894,1606.589165,0.625029,2632.761138,0.43752,2399.922355,0.43752,2223.351772,0.562526,1564.368483,0.515649,1742.501637,0.484397
1585.791339,0.625029,1624.464984,0.609403,1458.113619,0.484397,2138.566642,0.453146,1610.995617,0.562526,2782.502367,0.562526,2466.175387,0.343766,2223.836169,0.484397,1564.946634,0.578151,1751.814563,0.468771
1590.150913,0.531274,1625.027509,0.562526,1458.723022,0.609403,2195.444245,0.343766,1611.542517,0.5469,2866.756224,0.359391,2511.318079,0.312514,2237.821185,0.562526,1565.50916,0.562526,1755.080338,0.531274
1596.229316,0.453146,1625.465029,0.43752,1459.301174,0.578151,2198.506885,0.484397,1612.120669,0.578151,2867.09999,0.343766,2511.67747,0.359391,2240.24317,0.421894,1566.181066,0.671906,1767.643413,0.32814
1609.651806,0.640654,1629.418335,0.484397,1464.270151,0.515649,2199.022534,0.515649,1612.683194,0.562526,2969.120285,0.43752,2512.036862,0.359391,2240.618188,0.375017,1594.916756,0.640654,1836.06842,0.453146
1610.339337,0.687531,1629.94961,0.531274,1464.801425,0.531274,2211.804369,0.343766,1613.24572,0.562526,3062.046413,0.406269,2552.210576,0.406269,2240.977579,0.359391,1595.463656,0.5469,1851.850392,0.609403
1616.542746,0.453146,1636.496784,0.609403,1465.348325,0.5469,2341.779068,0.531274,1613.698866,0.453146,3136.596701,0.343766,2665.247,0.421894,2399.078566,0.500023,1595.963679,0.500023,1862.569633,0.468771
1665.857504,0.359391,1637.05931,0.562526,1465.863974,0.515649,2373.921165,0.484397,1616.605249,0.593777,3137.049846,0.453146,2665.606391,0.359391,2497.317438,0.421894,1613.105089,0.531274,1863.116533,0.5469
1666.279398,0.421894,1637.559333,0.500023,1466.270243,0.406269,2374.436813,0.515649,1617.105272,0.500023,3220.350534,0.375017,2665.918905,0.312514,2614.775939,0.375017,1613.620737,0.515649,1879.742294,0.484397
1681.280085,0.515649,1640.371962,0.640654,1481.880332,0.562526,2375.014965,0.578151,1617.683423,0.578151,3321.464538,0.562526,2666.262671,0.343766,2673.55988,0.468771,1616.85526,0.531274,1898.305644,0.359391
1819.989559,0.562526,1661.701063,0.5469,1482.505361,0.625029,2417.751296,0.32814,1618.183446,0.500023,3366.982246,0.390643,2743.969353,0.43752,2729.140549,0.5469,1617.339658,0.484397,1908.431107,0.421894
1820.536459,0.5469,1662.138583,0.43752,1483.161641,0.65628,2425.595405,0.484397,1618.792849,0.609403,3391.842759,0.500023,2763.45462,0.359391,2729.718701,0.578151,1626.761964,0.562526,1969.121385,0.484397
1821.036482,0.500023,1666.013761,0.484397,1483.724167,0.562526,2706.202,0.468771,1627.074478,0.562526,3392.327157,0.484397,2763.876514,0.421894,2840.208133,0.421894,1627.246361,0.484397,1969.574531,0.453146
1821.692762,0.65628,1669.888938,0.515649,1490.365096,0.531274,2706.623894,0.421894,1633.137256,0.578151,3392.983437,0.65628,2859.334009,0.421894,2849.271048,0.453146,1667.826344,0.578151,1973.184071,0.343766
1822.208411,0.515649,1670.513967,0.625029,1490.89637,0.531274,2780.783539,0.578151,1633.699781,0.562526,3393.592839,0.609403,2880.834993,0.515649,2873.709667,0.359391,1670.607721,0.640654,2049.51569,0.562526
1895.743026,0.343766,1676.404861,0.468771,1491.568276,0.671906,3047.670755,0.43752,1634.262307,0.562526,3394.170991,0.578151,3048.248906,0.406269,3217.225391,0.390643,1705.609323,0.562526,2073.923057,0.390643
1898.743164,0.421894,1678.67059,0.531274,1501.943751,0.5469,3048.280158,0.609403,1639.293787,0.578151,3455.392543,0.453146,3102.704524,0.421894,3217.725414,0.500023,1712.062743,0.484397,2103.721296,0.421894
1899.227561,0.484397,1679.248741,0.578151,1502.459399,0.515649,3052.530352,0.593777,1642.497059,0.453146,3898.990973,0.750034,3238.757627,0.32814,3218.131683,0.406269,1735.173176,0.578151,2104.080688,0.359391
1899.711958,0.484397,1679.686261,0.43752,1503.006299,0.5469,3173.551517,0.968794,1645.325314,0.562526,3899.834762,0.843789,3362.825806,1.343812,3244.50789,0.43752,1784.316051,0.390643,2128.316172,0.406269
1984.122072,0.484397,1680.326916,0.640654,1503.521948,0.515649,3339.059093,0.593777,1645.778459,0.453146,3900.772305,0.937543,3415.921986,0.843789,3277.478149,0.390643,1805.738906,0.515649,2128.644312,0.32814
1986.075286,0.421894,1681.030073,0.703157,1504.084474,0.562526,3393.624091,0.421894,1648.684842,0.578151,3908.725794,0.87504,3502.238438,1.187554,3328.417981,0.343766,1806.145175,0.406269,2156.98936,0.390643
1986.465929,0.390643,1690.593011,0.43752,1504.725128,0.640654,3427.375636,1.015671,1649.184865,0.500023,3954.134122,0.359391,3530.536608,0.375017,3370.951178,0.375017,1943.776475,0.406269,2157.395628,0.406269
2097.90853,0.32814,1697.312068,0.578151,1505.256402,0.531274,3428.422559,1.046923,1649.731765,0.5469,4024.621724,0.421894,3530.849123,0.312514,3472.768338,0.359391,1944.120241,0.343766,2162.364606,0.468771
2103.830677,0.453146,1697.874594,0.562526,1505.850179,0.593777,3440.954382,0.500023,1658.013394,0.5469,4133.626714,0.843789,3561.881793,0.421894,3473.143356,0.375017,2052.375196,0.578151,2184.52187,0.453146
2104.268197,0.43752,1708.562583,0.515649,1506.381454,0.531274,3465.439878,0.515649,1658.450914,0.43752,4147.09608,0.796911,3562.272436,0.390643,3473.612127,0.468771,2067.954034,0.421894,2226.101898,0.375017
2104.799471,0.531274,1720.656887,0.65628,1506.975231,0.593777,3465.986778,0.5469,1660.638515,0.484397,4147.877366,0.781286,3674.5432,0.87504,3492.6755,0.43752,2068.329051,0.375017,2291.198628,0.421894
2205.975977,0.468771,1727.657207,0.468771,1507.428377,0.453146,3498.722651,0.312514,1661.232292,0.593777,4198.379678,0.500023,3675.371363,0.828163,3546.7561,0.390643,2078.90766,0.406269,2291.714277,0.515649
2217.163989,0.32814,1754.627192,0.531274,1510.803531,0.531274,3525.255116,0.515649,1661.794817,0.562526,4330.979497,0.375017,3676.027643,0.65628,3571.788496,0.531274,2146.285745,0.578151,2292.183048,0.468771
2249.556097,0.390643,1755.267846,0.640654,1511.31918,0.515649,3560.412975,0.625029,1681.014447,0.453146,4331.323263,0.343766,3851.988823,0.859414,3572.366647,0.578151,2238.133699,0.390643,2302.105377,0.406269
2340.341503,0.375017,1918.00967,0.375017,1514.05368,0.609403,3733.077129,0.593777,1687.030348,0.5469,4333.167098,0.500023,3871.91161,0.421894,3819.94048,0.609403,2238.571219,0.43752,2371.921073,0.531274
2354.310892,0.453146,1918.478442,0.468771,1514.569329,0.515649,3733.670906,0.593777,1687.467868,0.43752,4491.861861,0.640654,3872.333504,0.421894,3871.020943,0.359391,2418.360699,0.390643,2412.110413,0.500023
2359.295495,0.343766,1993.794389,0.375017,1515.194357,0.625029,3814.080837,0.359391,1697.937097,0.500023,4551.333334,0.421894,4117.422848,0.812537,3880.912021,0.375017,2418.860722,0.500023,2465.58161,0.406269
2369.12407,0.453146,2055.922233,0.500023,1515.710006,0.515649,3870.880312,0.484397,1698.515248,0.578151,4579.694007,0.468771,4125.501342,0.390643,3969.853592,0.500023,2419.235739,0.375017,2523.365505,0.359391
2369.686596,0.562526,2056.344128,0.421894,1516.272532,0.562526,3949.508911,0.468771,1701.218497,0.593777,4749.889298,0.484397,4306.259616,0.343766,3977.307058,0.484397,2423.735945,0.484397,2771.470612,0.343766
2370.249122,0.562526,2072.844883,0.593777,1516.741303,0.468771,4318.588305,0.453146,1701.656017,0.43752,4900.005544,0.859414,4306.634634,0.375017,4057.732615,0.625029,2474.863285,0.500023,2826.191867,0.375017
